,Chapter number in book,Chapter name,POV,Location,Storyline,Storyline2,In show yet?
The Winds of Winter,13,?,,,,,1
The Winds of Winter,14,?,,,,,1
The Winds of Winter,15,?,,,,,1
The Winds of Winter,16,?,,,,,1
The Winds of Winter,17,?,,,,,1
The Winds of Winter,18,?,,,,,1
The Winds of Winter,19,?,,,,,1
The Winds of Winter,20,?,,,,,1
The Winds of Winter,21,?,,,,,1
The Winds of Winter,22,?,,,,,1
The Winds of Winter,23,?,,,,,1
The Winds of Winter,24,?,,,,,1
The Winds of Winter,25,?,,,,,1
